Price,Close
Ticker,AFL
Date,
2022-10-04,56.43687438964844
2022-10-05,56.11711502075195
2022-10-06,55.61867904663086
2022-10-07,54.25501251220703
2022-10-10,54.56536102294922
2022-10-11,54.64059829711914
2022-10-12,53.99168395996094
2022-10-13,56.135929107666016
2022-10-14,55.60927200317383
2022-10-17,56.079505920410156
2022-10-18,56.60615921020508
2022-10-19,56.55913162231445
2022-10-20,55.628082275390625
2022-10-21,57.33971405029297
2022-10-24,58.19552993774414
2022-10-25,58.26136016845703
2022-10-26,58.27076721191406
2022-10-27,58.966697692871094
2022-10-28,60.93227005004883
2022-10-31,61.23320770263672
2022-11-01,62.83198165893555
2022-11-02,62.71913146972656
2022-11-03,62.0420036315918
2022-11-04,63.179962158203125
2022-11-07,63.781837463378906
2022-11-08,63.932315826416016
2022-11-09,63.49970626831055
2022-11-10,65.8038330078125
2022-11-11,66.11418914794922
2022-11-14,64.61885833740234
2022-11-15,66.43511199951172
2022-11-16,66.98377227783203
2022-11-17,66.77565002441406
2022-11-18,67.10674285888672
2022-11-21,67.51351165771484
2022-11-22,68.10000610351562
2022-11-23,68.10946655273438
2022-11-25,68.58244323730469
2022-11-28,67.15403747558594
2022-11-29,67.04998779296875
2022-11-30,68.04325103759766
2022-12-01,68.02434539794922
2022-12-02,68.43109893798828
2022-12-05,67.20134735107422
2022-12-06,67.24864959716797
2022-12-07,67.35269927978516
2022-12-08,66.5202407836914
2022-12-09,66.17970275878906
2022-12-12,66.99322509765625
2022-12-13,66.85133361816406
2022-12-14,66.58646392822266
2022-12-15,65.58374786376953
2022-12-16,65.29049682617188
2022-12-19,65.19588470458984
2022-12-20,66.84186553955078
2022-12-21,67.59864044189453
2022-12-22,67.078369140625
2022-12-23,67.87298583984375
2022-12-27,68.33648681640625
2022-12-28,67.60811614990234
2022-12-29,68.18515014648438
2022-12-30,68.0527114868164
2023-01-03,67.712158203125
2023-01-04,68.03379821777344
2023-01-05,67.63648986816406
2023-01-06,69.85003662109375
2023-01-09,67.58918762207031
2023-01-10,68.10946655273438
2023-01-11,68.02434539794922
2023-01-12,67.92028045654297
2023-01-13,68.91353607177734
2023-01-17,68.52570343017578
2023-01-18,67.9959487915039
2023-01-19,66.86079406738281
2023-01-20,67.2108154296875
2023-01-23,67.67431640625
2023-01-24,68.86624145507812
2023-01-25,69.14056396484375
2023-01-26,69.01758575439453
2023-01-27,68.97030639648438
2023-01-30,69.0932846069336
2023-01-31,69.5284194946289
2023-02-01,69.3202896118164
2023-02-02,65.1769790649414
2023-02-03,65.6405029296875
2023-02-06,65.82024383544922
2023-02-07,66.17024230957031
2023-02-08,66.65267181396484
2023-02-09,65.86753845214844
2023-02-10,66.10401916503906
2023-02-13,67.17295837402344
2023-02-14,65.8597640991211
2023-02-15,65.91685485839844
2023-02-16,65.78363800048828
2023-02-17,66.01202392578125
2023-02-21,64.83204650878906
2023-02-22,65.05091094970703
2023-02-23,64.70834350585938
2023-02-24,65.25074005126953
2023-02-27,64.92720031738281
2023-02-28,64.85107421875
2023-03-01,64.82254028320312
2023-03-02,64.28964233398438
2023-03-03,65.12704467773438
2023-03-06,64.91769409179688
2023-03-07,63.813846588134766
2023-03-08,62.919349670410156
2023-03-09,61.70130157470703
2023-03-10,60.930511474609375
2023-03-13,59.151031494140625
2023-03-14,60.06455612182617
2023-03-15,58.275569915771484
2023-03-16,59.45555114746094
2023-03-17,58.323150634765625
2023-03-20,60.311981201171875
2023-03-21,61.56808090209961
2023-03-22,60.0740852355957
2023-03-23,59.50312805175781
2023-03-24,59.836181640625
2023-03-27,60.05504608154297
2023-03-28,60.48326873779297
2023-03-29,61.17792892456055
2023-03-30,61.17792892456055
2023-03-31,61.396793365478516
2023-04-03,61.5300178527832
2023-04-04,60.816322326660156
2023-04-05,61.339698791503906
2023-04-06,61.43486022949219
2023-04-10,61.82501983642578
2023-04-11,62.5291862487793
2023-04-12,62.786128997802734
2023-04-13,63.090633392333984
2023-04-14,63.0049934387207
2023-04-17,63.347564697265625
2023-04-18,63.652069091796875
2023-04-19,63.69964599609375
2023-04-20,63.26192092895508
2023-04-21,62.786128997802734
2023-04-24,62.88127136230469
2023-04-25,62.58628463745117
2023-04-26,62.22467803955078
2023-04-27,66.107177734375
2023-04-28,66.46878814697266
2023-05-01,66.9541015625
2023-05-02,65.3173599243164
2023-05-03,64.09932708740234
2023-05-04,63.58545684814453
2023-05-05,64.31818389892578
2023-05-08,64.36577606201172
2023-05-09,64.15640258789062
2023-05-10,63.49029541015625
2023-05-11,63.44272994995117
2023-05-12,62.90983963012695
2023-05-15,62.89079666137695
2023-05-16,62.402381896972656
2023-05-17,63.388797760009766
2023-05-18,64.07832336425781
2023-05-19,64.04959106445312
2023-05-22,63.76228332519531
2023-05-23,63.245140075683594
2023-05-24,61.8277702331543
2023-05-25,61.87565612792969
2023-05-26,61.760738372802734
2023-05-30,62.47899627685547
2023-05-31,61.49258804321289
2023-06-01,61.9522819519043
2023-06-02,63.78144073486328
2023-06-05,64.28900909423828
2023-06-06,64.80615234375
2023-06-07,65.5052719116211
2023-06-08,65.32330322265625
2023-06-09,66.05113983154297
2023-06-12,65.83086395263672
2023-06-13,66.46295166015625
2023-06-14,65.85002899169922
2023-06-15,66.80770874023438
2023-06-16,66.49166870117188
2023-06-20,64.93064880371094
2023-06-21,64.67208099365234
2023-06-22,64.6816635131836
2023-06-23,64.298583984375
2023-06-26,64.719970703125
2023-06-27,65.60104370117188
2023-06-28,65.48609924316406
2023-06-29,66.19479370117188
2023-06-30,66.84600830078125
2023-07-03,67.21951293945312
2023-07-05,66.95137023925781
2023-07-06,66.69278717041016
2023-07-07,67.07586669921875
2023-07-10,66.6257553100586
2023-07-11,67.51638793945312
2023-07-12,67.27696228027344
2023-07-13,66.98966217041016
2023-07-14,66.63533020019531
2023-07-17,67.4014663696289
2023-07-18,67.93777465820312
2023-07-19,68.30168914794922
2023-07-20,69.32640838623047
2023-07-21,69.34555053710938
2023-07-24,69.3934326171875
2023-07-25,69.4317398071289
2023-07-26,69.6903076171875
2023-07-27,69.01036834716797
2023-07-28,69.32640838623047
2023-07-31,69.27851867675781
2023-08-01,69.0582504272461
2023-08-02,73.01347351074219
2023-08-03,73.7891845703125
2023-08-04,73.59764099121094
2023-08-07,74.65109252929688
2023-08-08,73.79876708984375
2023-08-09,72.46759033203125
2023-08-10,72.50588989257812
2023-08-11,73.21456146240234
2023-08-14,73.39653778076172
2023-08-15,72.52505493164062
2023-08-16,72.62081909179688
2023-08-17,72.41012573242188
2023-08-18,71.68228149414062
2023-08-21,71.2992172241211
2023-08-22,70.68283081054688
2023-08-23,70.470947265625
2023-08-24,71.56888580322266
2023-08-25,71.51110076904297
2023-08-28,71.82893371582031
2023-08-29,71.90597534179688
2023-08-30,71.92523956298828
2023-08-31,71.81930541992188
2023-09-01,72.01193237304688
2023-09-05,71.46294403076172
2023-09-06,71.49185180664062
2023-09-07,71.89635467529297
2023-09-08,72.06971740722656
2023-09-11,72.80167388916016
2023-09-12,73.45658874511719
2023-09-13,73.5721664428711
2023-09-14,74.4582290649414
2023-09-15,73.687744140625
2023-09-18,74.0826187133789
2023-09-19,74.5160140991211
2023-09-20,74.30413055419922
2023-09-21,73.35066223144531
2023-09-22,73.4951171875
2023-09-25,73.95741271972656
2023-09-26,73.62032318115234
2023-09-27,74.18855285644531
2023-09-28,74.8049545288086
2023-09-29,73.91888427734375
2023-10-02,73.64922332763672
2023-10-03,72.64757537841797
2023-10-04,73.26396942138672
2023-10-05,73.62032318115234
2023-10-06,74.73753356933594
2023-10-09,75.3057632446289
2023-10-10,75.91252136230469
2023-10-11,76.85638427734375
2023-10-12,76.91416931152344
2023-10-13,77.28977966308594
2023-10-16,78.09879302978516
2023-10-17,78.39735412597656
2023-10-18,77.38609313964844
2023-10-19,76.6156005859375
2023-10-20,74.71826934814453
2023-10-23,74.31376647949219
2023-10-24,74.89163970947266
2023-10-25,75.3731918334961
2023-10-26,74.66047668457031
2023-10-27,73.66846466064453
2023-10-30,74.5448989868164
2023-10-31,75.22871398925781
2023-11-01,76.1340560913086
2023-11-02,78.71519470214844
2023-11-03,79.1967544555664
2023-11-06,78.39735412597656
2023-11-07,77.99285888671875
2023-11-08,77.35718536376953
2023-11-09,77.91580963134766
2023-11-10,78.47441864013672
2023-11-13,78.42625427246094
2023-11-14,79.21041870117188
2023-11-15,77.85507202148438
2023-11-16,78.52306365966797
2023-11-17,79.16201782226562
2023-11-20,78.5811538696289
2023-11-21,79.2878646850586
2023-11-22,79.80097198486328
2023-11-24,80.2947006225586
2023-11-27,80.32373046875
2023-11-28,79.55894470214844
2023-11-29,79.02647399902344
2023-11-30,80.07202911376953
2023-12-01,79.97521209716797
2023-12-04,80.09139251708984
2023-12-05,79.97521209716797
2023-12-06,79.12329864501953
2023-12-07,79.38468170166016
2023-12-08,79.9171371459961
2023-12-11,80.45927429199219
2023-12-12,81.65972137451172
2023-12-13,81.34992218017578
2023-12-14,78.68762969970703
2023-12-15,78.00028228759766
2023-12-18,78.69732666015625
2023-12-19,79.48148345947266
2023-12-20,78.1455078125
2023-12-21,78.619873046875
2023-12-22,78.85221862792969
2023-12-26,79.11360931396484
2023-12-27,79.29754638671875
2023-12-28,79.49116516113281
2023-12-29,79.86872100830078
2024-01-02,80.62385559082031
2024-01-03,80.53673553466797
2024-01-04,79.67510986328125
2024-01-05,80.08171081542969
2024-01-08,80.22693634033203
2024-01-09,77.98092651367188
2024-01-10,80.0042724609375
2024-01-11,80.05268096923828
2024-01-12,80.10107421875
2024-01-16,79.89777374267578
2024-01-17,80.18821716308594
2024-01-18,80.94332885742188
2024-01-19,81.6791000366211
2024-01-22,81.804931640625
2024-01-23,81.94047546386719
2024-01-24,82.28900146484375
2024-01-25,82.18251037597656
2024-01-26,82.58911895751953
2024-01-29,81.8920669555664
2024-01-30,82.9957275390625
2024-01-31,81.65003967285156
2024-02-01,73.7696533203125
2024-02-02,74.36988830566406
2024-02-05,73.89552307128906
2024-02-06,74.4666976928711
2024-02-07,76.31578826904297
2024-02-08,75.6187515258789
2024-02-09,75.73491668701172
2024-02-12,76.00599670410156
2024-02-13,75.57034301757812
2024-02-14,76.40291595458984
2024-02-15,77.613037109375
2024-02-16,76.84823608398438
2024-02-20,76.75082397460938
2024-02-21,77.21846008300781
2024-02-22,77.5984115600586
2024-02-23,78.33883666992188
2024-02-26,77.6471176147461
2024-02-27,78.14398193359375
2024-02-28,78.48497009277344
2024-02-29,78.66033172607422
2024-03-01,78.35832977294922
2024-03-04,77.68608856201172
2024-03-05,78.74800872802734
2024-03-06,80.04376220703125
2024-03-07,80.17040252685547
2024-03-08,79.99504852294922
2024-03-11,81.02774810791016
2024-03-12,80.80367279052734
2024-03-13,81.64151763916016
2024-03-14,81.41743469238281
2024-03-15,82.19683074951172
2024-03-18,82.3137435913086
2024-03-19,82.1676025390625
2024-03-20,82.79113006591797
2024-03-21,82.83008575439453
2024-03-22,81.99224090576172
2024-03-25,82.62550354003906
2024-03-26,82.76189422607422
2024-03-27,83.41463470458984
2024-03-28,83.6484603881836
2024-04-01,82.99571990966797
2024-04-02,82.74241638183594
2024-04-03,82.98597717285156
2024-04-04,82.18709564208984
2024-04-05,83.21978759765625
2024-04-08,82.94699096679688
2024-04-09,81.02774810791016
2024-04-10,80.7841796875
2024-04-11,77.58866882324219
2024-04-12,78.21217346191406
2024-04-15,78.20243835449219
2024-04-16,78.35832977294922
2024-04-17,78.19269561767578
2024-04-18,78.8941650390625
2024-04-19,81.0862045288086
2024-04-22,81.36872863769531
2024-04-23,81.5927963256836
2024-04-24,82.1091537475586
2024-04-25,81.57332611083984
2024-04-26,81.45640563964844
2024-04-29,82.36245727539062
2024-04-30,81.49539184570312
2024-05-01,82.39168548583984
2024-05-02,81.87533569335938
2024-05-03,81.06671142578125
2024-05-06,82.54756164550781
2024-05-07,82.49885559082031
2024-05-08,82.64498901367188
2024-05-09,83.18081665039062
2024-05-10,83.86279296875
2024-05-13,83.658203125
2024-05-14,84.07713317871094
2024-05-15,85.22673797607422
2024-05-16,84.89549255371094
2024-05-17,86.09380340576172
2024-05-20,85.43132781982422
2024-05-21,85.8232421875
2024-05-22,85.89183807373047
2024-05-23,85.02958679199219
2024-05-24,85.9212417602539
2024-05-28,85.49990844726562
2024-05-29,85.42152404785156
2024-05-30,86.20538330078125
2024-05-31,88.05725860595703
2024-06-03,87.11663818359375
2024-06-04,86.26417541503906
2024-06-05,86.5973129272461
2024-06-06,86.56791687011719
2024-06-07,86.9990463256836
2024-06-10,86.61691284179688
2024-06-11,85.80365753173828
2024-06-12,86.41114807128906
2024-06-13,85.54889678955078
2024-06-14,85.28434753417969
2024-06-17,86.185791015625
2024-06-18,87.19501495361328
2024-06-20,87.94947814941406
2024-06-21,87.86129760742188
2024-06-24,88.60596466064453
2024-06-25,88.19444274902344
2024-06-26,87.42037200927734
2024-06-27,87.36157989501953
2024-06-28,87.50856018066406
2024-07-01,87.26360321044922
2024-07-02,87.62613677978516
2024-07-03,87.2929916381836
2024-07-05,87.25379943847656
2024-07-08,86.73448944091797
2024-07-09,87.13622283935547
2024-07-10,88.3904037475586
2024-07-11,90.55582427978516
2024-07-12,90.7713851928711
2024-07-15,91.4866714477539
2024-07-16,91.66303253173828
2024-07-17,92.1627426147461
2024-07-18,92.38810729980469
2024-07-19,91.03594207763672
2024-07-22,92.5938720703125
2024-07-23,92.4175033569336
2024-07-24,92.24113464355469
2024-07-25,92.22154235839844
2024-07-26,92.90741729736328
2024-07-29,92.63306427001953
2024-07-30,93.4365234375
2024-07-31,93.45612335205078
2024-08-01,99.59965515136719
2024-08-02,97.2382583618164
2024-08-05,95.21001434326172
2024-08-06,96.61116027832031
2024-08-07,97.2872543334961
2024-08-08,98.82559204101562
2024-08-09,99.16852569580078
2024-08-12,99.14893341064453
2024-08-13,99.67803955078125
2024-08-14,100.30513763427734
2024-08-15,100.4717025756836
2024-08-16,102.64692687988281
2024-08-19,103.08784484863281
2024-08-20,102.68611907958984
2024-08-21,103.71001434326172
2024-08-22,104.96036529541016
2024-08-23,105.67906951904297
2024-08-26,105.84644317626953
2024-08-27,106.04335021972656
2024-08-28,107.1460189819336
2024-08-29,107.93363189697266
2024-08-30,108.65234375
2024-09-03,107.38230895996094
2024-09-04,108.78032684326172
2024-09-05,107.99271392822266
2024-09-06,107.20508575439453
2024-09-09,107.70719909667969
2024-09-10,106.76205444335938
2024-09-11,105.69876861572266
2024-09-12,106.29933166503906
2024-09-13,106.90972900390625
2024-09-16,108.46527862548828
2024-09-17,107.8647232055664
2024-09-18,107.27400207519531
2024-09-19,106.20087432861328
2024-09-20,106.2500991821289
2024-09-23,108.3176040649414
2024-09-24,107.4118423461914
2024-09-25,107.99271392822266
2024-09-26,108.36683654785156
2024-09-27,108.87877655029297
2024-09-30,110.070068359375
2024-10-01,111.07427215576172
2024-10-02,112.46247100830078
2024-10-03,111.7732925415039
2024-10-04,113.47652435302734
2024-10-07,110.10944366455078
2024-10-08,110.72969055175781
2024-10-09,109.34150695800781
2024-10-10,109.88300323486328
2024-10-11,111.50747680664062
2024-10-14,112.30493927001953
2024-10-15,112.2261734008789
2024-10-16,112.61013793945312
2024-10-17,113.21070098876953
2024-10-18,112.72828674316406
2024-10-21,111.00536346435547
2024-10-22,110.42449188232422
2024-10-23,110.40480041503906
2024-10-24,110.27681732177734
2024-10-25,108.05178833007812
2024-10-28,108.0911636352539
2024-10-29,108.29791259765625
2024-10-30,108.38652038574219
2024-10-31,103.16853332519531
2024-11-01,103.08976745605469
2024-11-04,102.89286804199219
2024-11-05,103.92660522460938
2024-11-06,106.88019561767578
2024-11-07,105.77752685546875
2024-11-08,106.59468078613281
2024-11-11,108.72126007080078
2024-11-12,108.93785858154297
2024-11-13,108.73111724853516
2024-11-14,107.98286437988281
2024-11-15,109.59748840332031
2024-11-18,110.30634307861328
2024-11-19,109.4104232788086
2024-11-20,109.02472686767578
2024-11-21,110.4983139038086
2024-11-22,111.15103149414062
2024-11-25,111.95210266113281
2024-11-26,112.76305389404297
2024-11-27,112.84217834472656
2024-11-29,112.7432861328125
2024-12-02,110.17194366455078
2024-12-03,105.58309936523438
2024-12-04,105.81055450439453
2024-12-05,106.56217956542969
2024-12-06,106.12702941894531
2024-12-09,103.84249877929688
2024-12-10,103.07109832763672
2024-12-11,103.06120300292969
2024-12-12,103.22933197021484
2024-12-13,103.36778259277344
2024-12-16,102.66561126708984
2024-12-17,101.61730194091797
2024-12-18,99.26353454589844
2024-12-19,100.13383483886719
2024-12-20,101.5579605102539
2024-12-23,101.60740661621094
2024-12-24,102.10189056396484
2024-12-26,102.51727294921875
2024-12-27,102.2403564453125
2024-12-30,101.83487701416016
2024-12-31,102.29969024658203
2025-01-02,101.23159790039062
2025-01-03,102.02278137207031
2025-01-06,100.66788482666016
2025-01-07,101.706298828125
2025-01-08,102.42826080322266
2025-01-10,99.87670135498047
2025-01-13,101.36016082763672
2025-01-14,102.50737762451172
2025-01-15,103.63481140136719
2025-01-16,104.76224517822266
2025-01-17,105.31607055664062
2025-01-21,105.21717071533203
2025-01-22,103.15021514892578
2025-01-23,103.3183364868164
2025-01-24,103.75348663330078
2025-01-27,106.95777130126953
2025-01-28,106.09736633300781
2025-01-29,106.4336166381836
2025-01-30,107.0566635131836
2025-01-31,106.19625854492188
2025-02-03,105.53364562988281
2025-02-04,105.58309936523438
2025-02-05,106.10724639892578
2025-02-06,101.94366455078125
2025-02-07,102.43815612792969
2025-02-10,101.47884368896484
2025-02-11,101.85465240478516
2025-02-12,101.80520629882812
2025-02-13,102.9326400756836
2025-02-14,102.20079040527344
2025-02-18,103.11065673828125
2025-02-19,103.93609619140625
2025-02-20,103.70735931396484
2025-02-21,101.59900665283203
2025-02-24,103.51840209960938
2025-02-25,106.14390563964844
2025-02-26,105.22895812988281
2025-02-27,106.8400650024414
2025-02-28,108.86885833740234
2025-03-03,109.5351791381836
2025-03-04,107.00912475585938
2025-03-05,107.56605529785156
2025-03-06,107.3572006225586
2025-03-07,107.81468200683594
2025-03-10,106.17374420166016
2025-03-11,105.68643188476562
2025-03-12,104.1151123046875
2025-03-13,104.52285766601562
